#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
486.66968,50,235.528256
560.870386,50,235.628263
323.036087,50,235.745262
494.205376,50,235.857259
385.149337,50,239.880262
217.304084,50,240.038262
553.288772,50,240.221263
614.277694,50,240.497262
392.77864,50,240.708258
465.697636,50,240.825265
506.410029,50,240.931259
472.216966,50,241.038266
338.681656,50,241.180266
230.06994,50,241.623256
589.083574,50,241.726259
542.452747,50,241.828257
530.752258,50,241.945261
794.061233,50,242.103261
428.06855,50,242.20826
789.259708,50,242.324261
279.55081,50,242.454269
518.310175,50,242.623262
514.958194,50,242.743262
676.348198,50,242.848259
551.991037,50,242.94026
501.424872,50,243.035258
291.134608,50,243.126261
505.814441,50,243.218259
494.641076,50,243.314259
374.12946,50,243.415258
600.118465,50,243.51326
396.708928,50,243.606259
751.395914,50,243.703262
384.415594,50,243.807258
415.052606,50,243.908267
672.734321,50,244.006258
606.353927,50,244.098259
324.762267,50,244.191259
772.773774,50,244.288841
617.482149,50,244.382844
242.007038,50,244.479848
633.28686,50,244.584839
660.983124,50,244.690844
424.007399,50,244.79084
396.435376,50,244.888839
560.264732,50,248.126393
641.273974,50,248.223392
215.989397,50,248.317391
721.867412,50,248.412393
486.874452,50,248.505392
566.512652,50,248.602388
521.510685,50,248.700393
486.409306,50,248.810392
315.580777,50,248.913391
350.215056,50,249.01539
467.263751,50,249.103397
488.328879,50,249.192393
515.541565,50,249.285394
321.213123,50,249.383398
670.571321,50,249.484392
503.451478,50,249.56939
533.944887,50,249.657397
470.360517,50,249.74439
667.350055,50,249.848391
417.53979,50,249.94739
364.824731,50,250.183394
163.096992,50,250.372393
436.465124,50,250.491392
586.735826,50,250.586395
435.453067,50,250.690391
688.085521,50,250.823392
596.128269,50,250.93139
532.372864,50,251.030392
275.637791,50,251.115398
510.902022,50,251.205395
594.015511,50,251.300389
460.716062,50,251.388396
424.241933,50,251.47439
617.703074,50,251.595393
646.204403,50,251.706392
544.477947,50,251.80639
562.171888,50,251.900395
453.844953,50,252.048394
400.827077,50,252.241395
472.841908,50,252.39339
650.614299,50,252.542394
736.840907,50,255.912441
298.445278,50,256.007441
345.464453,50,256.092471
343.245809,50,256.181499
533.083686,50,256.28349
469.100779,50,256.369491
497.313551,50,256.456495
499.272092,50,256.553493
670.596983,50,256.652489
721.354714,50,256.75249
714.087694,50,256.83749
391.509319,50,256.92449
706.777958,50,257.01349
586.330204,50,257.189494
507.955689,50,257.281492
433.078086,50,257.386494
637.53916,50,257.477024
386.66844,50,257.579021
225.98716,50,257.675018
891.798173,50,257.770017
302.557336,50,257.862022
611.610727,50,257.951018
608.907515,50,258.041298
469.690014,50,258.131299
622.372095,50,258.229303
