#{"t_start": 1753906836.8329315, "env_id": "None"}
r,l,t
776.227482,50,164.816037
611.327448,50,164.964036
547.679524,50,165.110035
620.613483,50,165.268036
734.821644,50,165.414039
573.869265,50,165.555039
589.210974,50,165.713037
522.945105,50,165.861041
341.713276,50,166.01309
702.393652,50,166.180079
481.528854,50,166.337091
757.384882,50,166.486081
400.764844,50,166.656577
263.167773,50,166.82558
731.783411,50,166.988575
307.682933,50,167.144596
575.570214,50,167.302387
599.29665,50,167.458419
537.019936,50,167.606392
475.56039,50,167.782387
479.103334,50,167.930386
402.601731,50,168.097389
227.507895,50,168.259387
644.393129,50,168.408388
517.875865,50,168.556389
767.797327,50,168.717291
523.471867,50,168.866294
237.649496,50,169.029293
491.941561,50,169.197291
434.047811,50,169.345299
529.65825,50,169.49029
569.216439,50,169.642294
503.882107,50,169.796293
387.469338,50,169.978291
491.956064,50,170.15729
319.223949,50,170.332292
897.009421,50,170.475291
457.144162,50,170.626291
387.56827,50,170.780291
415.761866,50,170.941297
882.824558,50,171.094295
498.566943,50,171.258289
620.848338,50,171.408247
630.540251,50,171.579245
310.432725,50,171.747238
498.300597,50,171.890238
604.051406,50,172.039244
418.496942,50,172.21024
621.937835,50,172.360286
391.132448,50,172.515285
209.343773,50,172.687287
373.644451,50,172.853286
394.638591,50,173.019287
518.14221,50,173.191285
658.828285,50,173.360286
534.618742,50,173.552284
493.243207,50,173.712292
498.401564,50,173.86542
670.902006,50,174.027421
811.21122,50,174.195452
387.88453,50,174.356429
527.099841,50,174.50742
815.955347,50,174.666424
376.948831,50,174.819427
577.640635,50,174.975455
352.836568,50,175.124419
735.63421,50,175.290423
855.755075,50,175.43842
415.457892,50,175.591421
668.225193,50,175.764421
283.766543,50,175.92042
686.410233,50,176.074422
512.956591,50,176.239425
396.555534,50,176.383423
710.994936,50,176.528424
528.434599,50,176.692424
517.904424,50,176.844421
362.482974,50,177.02242
665.307859,50,177.191422
688.725565,50,177.346423
638.419648,50,177.49342
640.922838,50,177.661196
280.971032,50,177.821166
232.186022,50,177.965162
291.560896,50,178.11616
536.32572,50,178.281165
706.778984,50,178.433167
619.276637,50,178.57916
618.752215,50,178.751158
593.268649,50,178.899162
995.882901,50,179.058165
518.995309,50,179.237159
436.18878,50,179.379194
467.587685,50,179.523157
514.76356,50,179.693164
452.425517,50,179.852158
477.033242,50,179.999159
618.805693,50,180.156161
844.347843,50,180.317156
932.051441,50,180.461474
634.723273,50,180.638488
522.193267,50,180.79947
322.775012,50,180.950479
825.728367,50,181.110478
404.762793,50,181.272481
433.012352,50,181.435487
728.919455,50,181.58148
767.386785,50,181.752487
498.636639,50,181.90048
385.844369,50,182.051482
669.953287,50,182.221487
550.359453,50,182.387007
478.079817,50,182.548015
449.983331,50,182.731217
283.248955,50,182.892215
626.000304,50,183.052536
460.826384,50,183.359531
813.986287,50,183.513535
504.353841,50,183.673585
734.900679,50,183.837586
553.642479,50,183.984586
863.628987,50,184.157577
246.830901,50,184.314586
833.481638,50,184.467819
508.208113,50,184.647819
465.374093,50,184.815817
