#{"t_start": 1753905059.3717554, "env_id": "None"}
r,l,t
329.832845,50,132.294752
323.66522,50,132.415983
260.5,50,132.540528
360.758747,50,132.722936
370.820896,50,132.852398
415.996781,50,132.985941
377.212902,50,133.113257
187.8,50,133.254287
364.146618,50,133.432289
321.555513,50,133.713853
324.183454,50,133.880007
519.508763,50,134.00801
520.678038,50,134.136055
474.596345,50,134.263051
336.525756,50,134.387619
283.81001,50,134.574189
508.017034,50,134.844273
227.720526,50,135.076446
800.082477,50,135.395947
260.0,50,135.788422
455.88068,50,136.109571
163.5,50,136.428934
612.295425,50,136.733691
262.122432,50,137.006959
385.973753,50,137.149885
495.097692,50,137.351201
549.158302,50,137.551023
261.619548,50,137.806674
271.476583,50,138.068877
351.075558,50,138.358783
443.514457,50,138.636248
368.287722,50,138.934565
504.53073,50,139.21831
429.560523,50,139.505647
485.208332,50,139.66885
393.974044,50,139.968252
249.9,50,140.413413
372.707691,50,140.56642
260.5,50,140.690473
279.983109,50,140.955363
289.493798,50,141.158404
339.761357,50,141.307497
327.453713,50,141.611602
397.802104,50,141.949563
500.501964,50,142.243268
397.882184,50,142.541159
262.8,50,142.863223
335.007879,50,143.208492
537.671775,50,143.526514
442.244014,50,143.836529
504.029323,50,143.974534
481.478273,50,144.113528
416.957133,50,144.249526
291.65986,50,144.381607
651.263056,50,144.527656
357.245235,50,144.665915
298.280758,50,144.824653
229.5,50,145.090144
419.443377,50,145.240332
333.865541,50,145.387707
571.928595,50,145.524877
516.324713,50,146.042819
279.627776,50,146.207567
379.937127,50,146.388252
334.128695,50,146.563742
318.347156,50,146.713667
494.715744,50,146.899384
265.11537,50,147.070203
598.621027,50,147.222268
445.15573,50,147.404993
259.5,50,147.636255
255.5,50,147.900189
366.5641,50,148.213758
172.7,50,148.504088
290.432118,50,148.749475
343.010862,50,148.977631
413.4464,50,149.156243
507.236431,50,149.421446
335.363512,50,149.718789
331.386321,50,150.099125
195.592386,50,150.435718
324.588145,50,150.705988
478.246799,50,150.942361
368.851805,50,151.186945
649.628524,50,151.320498
702.027399,50,151.446412
185.0,50,151.56798
263.462396,50,151.704515
175.3,50,151.827516
687.017503,50,152.018801
181.526582,50,152.27133
252.049051,50,152.547399
198.452935,50,152.820927
449.597507,50,153.098378
318.185506,50,153.38241
373.404265,50,153.671929
365.546947,50,153.973392
256.54178,50,154.28546
322.405592,50,154.553169
213.463906,50,154.812885
332.301971,50,155.094081
483.688593,50,155.328637
303.672258,50,155.566184
329.045913,50,155.917107
619.672623,50,156.165101
311.549186,50,156.310053
352.367328,50,156.448796
264.046838,50,156.586795
428.698862,50,156.73584
415.466046,50,156.853889
371.105575,50,157.011729
335.72014,50,157.198915
280.663621,50,157.892566
379.392808,50,158.072311
273.562331,50,158.18531
310.016231,50,158.337511
351.925467,50,158.463511
376.584264,50,158.632029
466.423041,50,158.792018
441.894062,50,158.954091
378.8673,50,159.109445
422.919608,50,159.286504
361.022112,50,159.463348
230.623452,50,159.679157
599.10985,50,159.859948
532.354251,50,160.049787
447.494156,50,160.217992
334.280179,50,161.077546
409.839697,50,161.950912
376.233721,50,162.196923
100.933225,50,162.441083
259.8,50,162.733168
404.825506,50,163.055773
103.884538,50,163.279634
598.584857,50,163.529737
507.280506,50,163.861832
390.629581,50,164.150586
257.762901,50,164.380617
494.791605,50,164.638594
460.283832,50,164.899482
684.861096,50,165.050485
307.396025,50,165.18164
214.56939,50,165.307638
565.231062,50,165.435919
342.128706,50,165.567301
362.112743,50,165.687231
502.81966,50,165.807525
197.4,50,165.926484
-68.9,50,166.044818
551.560014,50,166.160561
551.367012,50,166.280295
458.151743,50,166.413931
353.892508,50,166.529977
335.625372,50,166.650003
728.339768,50,166.770811
287.080344,50,166.902662
466.651188,50,167.019658
316.655747,50,167.143318
432.22996,50,167.259335
691.510111,50,167.390964
420.795433,50,167.522182
414.103152,50,167.775078
262.388415,50,168.037114
334.258953,50,168.345312
569.379892,50,168.608146
341.555634,50,168.83811
455.108856,50,169.059232
176.36343,50,169.33698
424.211307,50,169.58104
328.77977,50,169.810753
511.919208,50,170.073809
195.433604,50,170.354026
541.154154,50,170.540835
324.562921,50,170.658393
351.800005,50,170.789373
463.788087,50,170.951937
737.901884,50,171.076942
688.015125,50,171.208936
456.356814,50,171.389987
243.9,50,171.653317
447.115345,50,171.876847
448.63419,50,172.093956
439.0075,50,172.313668
832.148773,50,172.536741
330.200773,50,172.671035
260.15459,50,173.125425
298.829909,50,173.349828
243.3,50,173.602889
309.323876,50,173.83875
785.29783,50,173.971044
315.539224,50,174.095311
258.0,50,174.250262
417.446653,50,174.402053
340.788952,50,174.544998
495.875807,50,174.691355
319.836945,50,174.830441
255.989421,50,174.950441
274.003253,50,175.06548
294.48931,50,175.187441
331.702358,50,175.377042
267.134971,50,175.661705
342.954511,50,175.862302
225.9,50,176.00658
232.7,50,176.303973
184.1,50,176.571423
408.724269,50,176.782255
577.395461,50,176.910455
381.297121,50,177.073054
327.595892,50,177.18657
440.149858,50,177.306894
509.317697,50,177.420071
389.278902,50,177.54344
424.936642,50,177.655328
450.591576,50,177.776013
223.9,50,177.893959
387.180191,50,178.020701
456.204206,50,178.144551
435.084903,50,178.277076
276.330352,50,178.405148
255.8,50,178.577192
343.11269,50,178.745076
241.01596,50,178.884077
297.305434,50,179.027008
450.447688,50,179.261351
368.478847,50,179.404711
219.2,50,179.525014
166.799202,50,179.64715
208.6,50,179.930104
316.293339,50,180.067058
546.32458,50,180.212284
515.575949,50,180.393734
279.233715,50,180.574568
252.8,50,180.771751
260.8,50,180.900666
397.937342,50,181.038716
261.5,50,181.184721
280.867921,50,181.301719
445.576362,50,181.44559
446.13,50,181.705122
245.1,50,181.94627
568.153995,50,182.200266
285.863644,50,182.320377
606.188913,50,182.442668
260.8,50,182.582661
334.76004,50,182.707666
362.563305,50,182.827608
313.094953,50,183.019211
372.087763,50,183.183859
568.352725,50,183.348897
423.350657,50,183.46914
510.377941,50,183.609194
664.147574,50,183.747534
486.878855,50,183.883697
262.2,50,184.010806
704.560971,50,184.135888
213.5,50,184.615672
262.1,50,184.727226
392.037271,50,184.861262
346.238118,50,184.989316
482.632145,50,185.117768
515.855436,50,185.238769
372.835203,50,185.371131
376.633465,50,185.52816
378.195383,50,185.698347
444.639413,50,185.840425
82.254192,50,185.970426
386.385238,50,186.087953
